Deze csv werd beperkt tot 2000 resultaten.
Meer gegevens kunnen gevonden worden door de parameter 'pagina' toe te voegen aan de zoekstring.
 Eerste pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=1
 Laatste pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=76
 Volgende pagina: https://inventaris.onroerenderfgoed.be/aanduidingsobjecten.csv?per_pagina=2000&pagina=2
id,type,naam,locatie,provincie,gemeente,deelgemeente,nummers,stijl,typologie,context,materiaal,plantensoort,datering,gga_motivatie,personen,gebeurtenissen,themas,geldig vanaf,geldig tot,geldigheid opmerkingen,besluiten,dataverantwoordelijke,toelatingsplichtige handelingen
175417,"Gebied geen archeologie, gewestelijk",Gebied 8634,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 17,,2023-12-08,,,15163,Agentschap Onroerend Erfgoed,nee
175462,"Gebied geen archeologie, gewestelijk",Gebied 8679,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,eindverslag,,Vaststelling GGA 17,,2023-12-08,,,15163,Agentschap Onroerend Erfgoed,nee
175679,"Gebied geen archeologie, gewestelijk",Gebied 8334,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,eindverslag,,Vaststelling GGA 17,,2023-12-08,,,15163,Agentschap Onroerend Erfgoed,nee
175682,"Gebied geen archeologie, gewestelijk",Gebied 8337,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,,,,,,,,nota,,Vaststelling GGA 17,,2023-12-08,,,15163,Agentschap Onroerend Erfgoed,nee
176178,Beschermd varend erfgoed,Esmeralda,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,4.061/41002/101.1,,"binnenschepen, motorschepen, vrachtschepen",,staal,,WO II,,Scheepswerven Van Praet-Dansaert en Van Damme (Uitvoerder),Ad hoc beschermingen 2022,,2024-05-17,2024-07-19,voorlopige bescherming,15378,Agentschap Onroerend Erfgoed,nee
178271,Beschermd varend erfgoed,Esmeralda,Aalst (Oost-Vlaanderen),Oost-Vlaanderen,Aalst,Onbepaald,4.061/41002/101.1,,"binnenschepen, motorschepen, vrachtschepen",,staal,,WO II,,Scheepswerven Van Praet-Dansaert en Van Damme (Uitvoerder),Ad hoc beschermingen 2022,,2024-07-19,,,15448,Agentschap Onroerend Erfgoed,nee
8384,Beschermd monument,Heilige Geestkapel,"'t Maegelijnplein 1, Kattestraat 32-34 (Aalst)",Oost-Vlaanderen,Aalst,Aalst,"4.01/41002/141.1, 4.01/41002/235.1, DO002061, OO000359","gotiek, neogotiek",kapellen (gebouwen en structuren),,,,"derde kwart 15de eeuw, voor WO I",,"Casier Joseph (Ontwerper), Goethals Jules (Ontwerper)",Project beschermingsdatabank 2013-2016,,1997-08-07,,,3209,Agentschap Onroerend Erfgoed,nee
57924,Vastgesteld bouwkundig erfgoed,Godshuis Tafel van de Heilige Geest,"'t Maegelijnplein 1, Kattestraat 32-34 (Aalst)",Oost-Vlaanderen,Aalst,Aalst,,"classicisme, gotiek, neoclassicisme, neogotiek","godshuizen, kapellen (gebouwen en structuren), waterpompen, weeshuizen",,,,"derde kwart 15de eeuw, tweede helft 18de eeuw, tweede kwart 19de eeuw, voor WO I",,"Casier Joseph (Ontwerper), Goethals Jules (Ontwerper)","Vaststelling van de inventaris bouwkundig erfgoed 2010, Vaststelling van de inventaris bouwkundig erfgoed 2011, Vaststelling van de inventaris bouwkundig erfgoed 2012, Vaststelling van de inventaris bouwkundig erfgoed 2013, Vaststelling van de inventaris bouwkundig erfgoed 2014",,2010-09-30,2023-06-20,,5825,Agentschap Onroerend Erfgoed,nee
127787,Vastgesteld bouwkundig erfgoed,Heilige Geestkapel,"'t Maegelijnplein 1, Kattestraat 32-34 (Aalst)",Oost-Vlaanderen,Aalst,Aalst,,"gotiek, neogotiek",kapellen (gebouwen en structuren),,,,"derde kwart 15de eeuw, voor WO I",,"Casier Joseph (Ontwerper), Coppejans Frans-Jozef (Ontwerper), Goethals Jules (Ontwerper)",Vaststelling van de inventaris bouwkundig erfgoed in de provincie Oost-Vlaanderen,,2023-06-20,,,15002,Agentschap Onroerend Erfgoed,nee
8286,Beschermd cultuurhistorisch landschap,Honegem - Solegem - Sint-Apollonia,"Aalst (Aalst), Erpe (Erpe-Mere), Lede (Lede)",Oost-Vlaanderen,"Aalst, Erpe-Mere, Lede","Aalst, Erpe, Lede","4.03/41082/108.1, DO000812, OO000785",,"agrarische landschappen, beken, depressies, houtwallen, loofbossen, rootputten, veenwinning",,,,"19de eeuw, tweede helft 18de eeuw",,,Project beschermingsdatabank 2013-2016,,1990-07-02,,,2366,Agentschap Onroerend Erfgoed,nee
